band_name,fans,formed,origin,style,split
Ensiferum,1879,1995,Finland,Extreme folk,1995
Arch Enemy,1750,1996,Sweden,Gothenburg,-
Katatonia,1735,1991,Sweden,"Blackened doom,Death doom,Alternative rock,Gothic doom",1991
Behemoth,1721,1991,Poland,"Death,Black,Blackened death",-
Dimmu Borgir,1688,1993,Norway,"Symphonic black,Black",1993
Kreator,1646,1982,Germany,Teutonic thrash,-
Wintersun,1640,2004,Finland,Extreme power,2004
Insomnium,1547,1997,Finland,Melodic death,-
Amorphis,1528,1990,Finland,"Death,Melodic death,Folk,Progressive",1990
Kamelot,1520,1991,USA,Symphonic power,-
Tool,1506,1988,USA,"Progressive,Alternative",1988
Helloween,1501,1978,Germany,"Speed,Power",-
Testament,1500,1983,USA,Bay area thrash,1983
Epica,1450,2002,The Netherlands,Symphonic,-
Immortal,1436,1990,Norway,"Death,Black",1990
Lamb Of God,1433,1999,USA,Groove thrash,-
Iced Earth,1403,1985,USA,"Heavy,Us power",1985
Anathema,1400,1990,United Kingdom,"Death doom,Atmospheric rock,Doom",-
Symphony X,1343,1994,USA,"Progressive,Symphonic power",1994
Eluveitie,1328,2002,Switzerland,"Celtic folk,Gothenburg",-
Gojira,1300,1996,France,Progressive death,1996
Rammstein,1251,1994,Germany,Industrial,-
Sonata Arctica,1242,1996,Finland,Power,1996
Mastodon,1232,1999,USA,"Progressive stoner,Progressive sludge",-
Nile,1189,1993,USA,"Brutal death,Technical death",1993
Sepultura,1185,1984,Brazil,"Alternative,Death,Groove thrash,Thrash",-
Moonspell,1173,1989,Portugal,"Folk,Gothic black,Gothic,Symphonic black,Black",1989
Therion,1167,1987,Sweden,"Death,Symphonic",-
Cannibal Corpse,1162,1988,USA,Death,1988
Enslaved,1146,1991,Norway,"Viking black,Progressive black",-
Emperor,1132,1991,Norway,"Black,Symphonic black",1991
Porcupine Tree,1094,1987,United Kingdom,"Progressive rock,Progressive",-
Cradle Of Filth,1084,1991,United Kingdom,"Extreme gothic,Symphonic black,Death,Symphonic",1991
Be'lakor,1083,2004,Australia,Melodic death,-
My Dying Bride,1069,1990,United Kingdom,"Death doom,Gothic doom",1990
Led Zeppelin,1054,1968,United Kingdom,"Progressive hard rock,Heavy,Blues rock",1980
Nevermore,1051,1991,USA,"Heavy,Progressive,Thrash",1991
Stratovarius,1046,1982,Finland,"Power,Heavy",-
Paradise Lost,1042,1988,United Kingdom,"Gothic,Electro gothic,Death doom",1988
Dio,1023,1982,USA,Heavy,2010
Kalmah,1004,1991,Finland,"Extreme power,Melodic death",1991
Carcass,1001,1985,United Kingdom,"Grindcore,Melodic death",-
Burzum,978,1989,Norway,"Black,Dark,Ambient,Ambient",1989
Anthrax,976,1981,USA,"Thrash,Heavy",-
Morbid Angel,975,1984,USA,Death,1984
Meshuggah,970,1987,Sweden,"Technical thrash,Math,Progressive",-
Finntroll,967,1997,Finland,Extreme folk,1997
Septicflesh,967,1990,Greece,"Atmospheric death,Symphonic death",-
Moonsorrow,966,1995,Finland,Viking folk,1995
Machine Head,957,1992,USA,"Groove thrash,Progressive thrash",-
System Of A Down,956,1995,USA,Alternative,1995
Within Temptation,956,1996,The Netherlands,"Symphonic,Gothic",-
Bathory,942,1983,Sweden,"Viking black,First wave of black",1983
Exodus,937,1980,USA,Bay area thrash,-
Draconian,936,1994,Sweden,Gothic doom,1994
Slipknot,928,1995,USA,"Alternative,Nu",-
AC/DC,923,1973,Australia,"Hard rock,Blues rock",1973
Ayreon,903,1995,The Netherlands,Progressive,-
Swallow The Sun,900,2000,Finland,"Melodic death,Melodic doom",2000
Gamma Ray,898,1988,Germany,Power,-
Rhapsody Of Fire,896,1993,Italy,Symphonic power,1993
Hypocrisy,885,1990,Sweden,"Death,Melodic death,Gothenburg",-
Motörhead,875,1975,"United Kingdom, USA",Heavy,1975
Bloodbath,872,1998,Sweden,Death,-
Korpiklaani,864,2003,Finland,Folk,2003
Manowar,863,1980,USA,"Heavy,Us power",-
HammerFall,861,1993,Sweden,Power,1993
At The Gates,839,1990,Sweden,"Melodic death,Gothenburg",-
Sabaton,824,1999,Sweden,Power,1999
Mayhem,823,1984,Norway,"Death,Black",-
Vader,822,1983,Poland,Death,1983
Avantasia,819,1999,Germany,Symphonic power,-
Rotting Christ,807,1987,Greece,"Black,Gothic",1987
Summoning,799,1993,Austria,Atmospheric black,-
Sodom,783,1980,Germany,Teutonic thrash,1980
Overkill,770,1980,USA,Thrash,-
Dissection,768,1989,Sweden,"Melodic death,Melodic black",1989
Satyricon,768,1990,Norway,Black,-
Rush,767,1968,Canada,Progressive rock,1968
Darkthrone,753,1986,Norway,"Death,Black,Crust punk ,Heavy",-
Ozzy Osbourne,750,1979,"United Kingdom, USA",Heavy,1979
Devin Townsend,747,1996,Canada,"Industrial progressive,Progressive",-
Alcest,734,2000,France,"Black,Shoegaze",2000
Equilibrium,729,2001,Germany,Viking folk,-
Deep Purple,714,1968,United Kingdom,"Heavy,Hard rock",1968
Edguy,714,1992,Germany,Power,-
Soilwork,702,1995,Sweden,Gothenburg,1995
Riverside,684,2001,Poland,Progressive,-
Trivium,681,2000,USA,"Metalcore,Alternative thrash",2000
Turisas,672,1997,Finland,Folk,-
Orphaned Land,662,1991,Israel,"Progressive folk,Death,Folk",1991
Apocalyptica,656,1993,Finland,Symphonic heavy,-
King Diamond,641,1985,"Denmark, USA",Heavy,1985
Angra,633,1991,Brazil,Progressive power,-
Deicide,628,1987,USA,Death,1987
Alice In Chains,627,1985,USA,"Grunge ,Heavy",-
Haggard,622,1991,Germany,"Experimental death,Symphonic",1991
Disturbed,620,1996,USA,"Nu,Alternative",-
DragonForce,607,1999,United Kingdom,Power,1999
Lacuna Coil,604,1994,Italy,"Gothic,Alternative",-
Accept,601,1968,Germany,Heavy,1968
Arcturus,601,1990,Norway,"Avantgarde black,Avantgarde",-
Omnium Gatherum,599,1996,Finland,Melodic death,1996
Obituary,596,1984,USA,Death,-
Pain Of Salvation,596,1984,Sweden,"Progressive,Progressive rock",1984
Necrophagist,595,1992,Germany,Technical death,-
Fear Factory,594,1989,USA,"Industrial,Death",1989
Tristania,594,1996,Norway,"Symphonic gothic,Gothic",-
Decapitated,587,1996,Poland,Technical death,1996
Fleshgod Apocalypse,586,2007,Italy,Symphonic death,-
Primordial,583,1987,Ireland,"Black,Celtic folk",1987
Candlemass,579,1984,Sweden,Epic doom,-
Scar Symmetry,574,2004,Sweden,"Melodic death,Progressive power",2004
Eternal Tears Of Sorrow,573,1991,Finland,"Extreme power,Melodic death",-
Marduk,567,1990,Sweden,Black,1990
Annihilator,565,1984,Canada,"Thrash,Heavy",-
Alestorm,558,2004,United Kingdom,"Folk,Power",2004
Ghost,547,2008,Sweden,"Heavy,Psychedelic rock",-
Ulver,545,1992,Norway,"Folk,Electronic,Avantgarde ,Black",1992
Cynic,542,1987,USA,"Progressive death,Progressive",-
Ne Obliviscaris,539,2003,Australia,Extreme progressive,2003
In Mourning,533,2000,Sweden,"Gothic,Melodic death,Progressive",-
Obscura,532,2002,Germany,"Progressive death,Technical death",2002
Korn,531,1993,USA,"Nu,Alternative",-
Evergrey,528,1996,Sweden,"Progressive,Power",1996
Týr,526,1998,Faroe Islands,Folk,-
Type O Negative,526,1989,USA,"Gothic,Doom",1989
Mercyful Fate,525,1981,"Denmark, USA","Heavy,First wave of black",-
Saturnus,522,1991,Denmark,"Death,Gothic doom",1991
Bolt Thrower,519,1986,United Kingdom,"Death,Grindcore",2016
Scorpions,519,1965,Germany,"Progressive rock,Hard rock,Heavy",1965
Napalm Death,516,1981,United Kingdom,"Hardcore,Grindcore,Punk",-
Windir,514,1994,Norway,Viking black,1994
Sentenced,510,1988,Finland,"Death,Suomi,Depressive heavy,Melodic death",2005
Tiamat,510,1988,Sweden,"Death,Atmospheric gothic",1988
Killswitch Engage,500,1999,USA,Melodic metalcore,-
Gorgoroth,498,1992,Norway,Black,1992
Celtic Frost,497,1984,Switzerland,"First wave of black,Avantgarde,Thrash",2008
Rainbow,497,1975,United Kingdom,"Hard rock,Heavy",1975
Suffocation,497,1990,USA,Brutal death,-
Kataklysm,493,1991,Canada,Death,1991
Dying Fetus,488,1991,USA,"Brutal death,Deathgrind,Technical death",-
Norther,488,1996,Finland,Extreme power,1996
Sirenia,488,2001,Norway,Symphonic gothic,-
Savatage,482,1978,USA,Progressive heavy,1978
Empyrium,481,1994,Germany,"Doom,Folk,Neofolk",-
Guns N' Roses,481,1985,USA,Hard rock,1985
Venom,481,1979,United Kingdom,"First wave of black,Heavy",-
Dark Funeral,479,1993,Sweden,Black,1993
Avenged Sevenfold,477,1999,USA,"Metalcore,Heavy,Alternative",-
Destruction,477,1983,Germany,Teutonic thrash,1983
Edge Of Sanity,472,1989,Sweden,Progressive death,2003
After Forever,470,1995,The Netherlands,"Symphonic gothic,Symphonic progressive",1995
Ihsahn,464,2005,Norway,"Extreme progressive,Avantgarde",-
Diablo Swing Orchestra,458,2003,Sweden,"Avantgarde,Symphonic",2003
Arkona,450,2002,Russia,Pagan folk,-
Leprous,444,2001,Norway,Progressive,2001
Between The Buried And Me,441,2000,USA,Progressive metalcore,-
Death Angel,441,1982,USA,Bay area thrash,1982
W.A.S.P.,440,1982,USA,Heavy,-
As I Lay Dying,424,2001,USA,Melodic metalcore,2001
Black Label Society,424,1998,USA,Heavy,-
Borknagar,420,1995,Norway,"Melodic black,Progressive black",1995
Isis,420,1997,USA,"Post-metal,Atmospheric sludge",2010
Soulfly,417,1997,USA,"Groove thrash,Nu",1997
Atheist,411,1984,USA,Technical death,-
DevilDriver,411,2002,USA,"Nu,Melodic death,Groove thrash",2002
Shining,410,1996,Sweden,"Depressive black,Progressive black",-
Strapping Young Lad,409,1995,Canada,"Industrial,Thrash",1995
The Gathering,409,1989,The Netherlands,"Doom,Death doom,Atmospheric gothic,Experimental rock",-
Anaal Nathrakh,399,1998,United Kingdom,"Black,Grindcore",1998
Ghost Brigade,398,2005,Finland,"Post-metal,Alternative",-
Delain,395,2002,The Netherlands,Symphonic,2002
Watain,391,1998,Sweden,Black,-
Saxon,387,1976,United Kingdom,"New wave of british heavy,Heavy",1976
Vektor,387,2002,USA,"Technical thrash,Progressive thrash",-
Immolation,386,1986,USA,Death,1986
Firewind,382,1998,Greece,"Power,Heavy",-
Mors Principium Est,381,1999,Finland,Gothenburg,1999
Samael,381,1987,Switzerland,"Black,Electro industrial",-
Bullet For My Valentine,379,1998,United Kingdom,Melodic metalcore,1998
Entombed,379,1987,Sweden,"Death,Death ',N',Roll",-
Steven Wilson,375,2003,United Kingdom,Progressive rock,2003
Xandria,372,1994,Germany,"Gothic,Symphonic",-
Drudkh,369,2002,Ukraine,"Atmospheric black,Pagan black",2002
Animals As Leaders,367,2007,USA,"Progressive,Instrumental,Djent",-
Queensrÿche,367,1981,USA,"Heavy,Progressive heavy,Progressive rock",1981
Powerwolf,364,2003,Germany,Power,-
Belphegor,363,1991,Austria,"Black,Death",1991
Alice Cooper,362,1964,USA,"Hard rock,Glam rock,New,Wave ,Heavy",-
Before The Dawn,359,1999,Finland,"Gothic,Melodic death",1999
The Faceless,358,2004,USA,"Deathcore,Progressive death,Technical death",-
Deftones,357,1988,USA,"Nu,Alternative",1988
Primal Fear,354,1997,Germany,Power,-
Theatre Of Tragedy,354,1993,Norway,"Gothic,Gothic industrial",1993
KISS,352,1972,USA,"Hard rock,Symphonic rock,Glam,Heavy",-
Down,351,1991,USA,"Heavy,Sludge,Stoner",1991
Skeletonwitch,349,2003,USA,Blackened thrash,-
Rage Against The Machine,344,1991,USA,"Alternative,Nu",1991
Wolves In The Throne Room,343,2004,USA,Atmospheric black,-
Five Finger Death Punch,342,2005,USA,Groove metal,2005
Electric Wizard,341,1993,United Kingdom,"Doom,Stoner",-
Nine Inch Nails,341,1988,USA,"Industrial rock,Industrial",1988
Novembers Doom,341,1989,USA,"Death doom,Melodic death",-
Dethklok,337,2006,USA,Melodic death,2006
Faith No More,337,1981,USA,Alternative,-
Cryptopsy,334,1988,Canada,"Brutal death,Technical death,Death",1988
Falkenbach,332,1989,Germany,"Black,Viking folk,Folk",-
Graveworm,331,1992,Italy,"Gothic,Symphonic black",1992
Taake,331,1993,Norway,Black,-
Grave Digger,328,1980,Germany,Heavy,1980
Rob Zombie,326,1998,USA,"Alternative,Industrial",-
The Black Dahlia Murder,326,2001,USA,"Melodic death,Metalcore",2001
Running Wild,324,1976,Germany,"Heavy,Speed",-
Neurosis,322,1985,USA,"Atmospheric sludge,Post-hardcore ,Post-metal",1985
Carach Angren,320,2003,The Netherlands,Symphonic black,-
Dark Moor,320,1994,Spain,Symphonic power,1994
Baroness,319,2003,USA,"Sludge,Stoner rock,Progressive rock",-
King Crimson,319,1969,United Kingdom,Progressive rock,1969
Shape Of Despair,319,1995,Finland,Funeral doom,-
Bruce Dickinson,315,1989,United Kingdom,Heavy,1989
Demons And Wizards,315,1999,USA,"Heavy,Power",-
Deathspell Omega,314,1998,France,"Black,Avantgarde",1998
Lacrimosa,312,1990,Germany,"Gothic,Symphonic",-
Coroner,311,1985,Switzerland,Technical thrash,1985
Masterplan,311,2001,Germany,Progressive power,-
Tarja,310,2004,Finland,Symphonic,2004
Ahab,309,2004,Germany,Funeral doom,-
Melechesh,307,1993,"Israel, The Netherlands","Melodic black,Folk",1993
Rage,306,1986,Germany,Heavy,-
Cult Of Luna,305,1998,Sweden,"Post-metal,Sludge",1998
Suidakra,305,1994,Germany,"Melodic death,Folk",-
Yngwie Malmsteen,304,1978,Sweden,Neoclassical power,1978
Kyuss,301,1988,USA,"Stoner,Stoner rock",1995
All That Remains,298,1998,USA,Melodic metalcore,1998
Marilyn Manson,298,1989,USA,"Industrial rock,Alternative,Industrial,Glam rock,Alternative rock",-
Sólstafir,297,1995,Iceland,"Atmospheric black,Post-rock",1995
Woods Of Ypres,297,2002,Canada,"Melodic black,Doom,Gothic doom",2011
Blut Aus Nord,296,1994,France,"Atmospheric black,Industrial",1994
Godsmack,296,1995,USA,"Alternative,Hard rock",-
Haken,293,2007,United Kingdom,Progressive,2007
HIM,293,1995,Finland,Suomi,-
Warbringer,293,2004,USA,Thrash,2004
Havok,289,2004,USA,Thrash,-
Novembre,288,1990,Italy,"Death doom,Extreme progressive",1990
Evile,285,2004,United Kingdom,Thrash,-
Six Feet Under,283,1993,USA,Death,1993
Leaves' Eyes,281,2003,Germany,Atmospheric symphonic,-
Old Man's Child,281,1989,Norway,"Thrash,Death,Symphonic black",1989
Chimaira,280,1998,USA,Groove thrash,2014
Persefone,279,2001,Andorra,"Melodic death,Progressive",2001
Heaven Shall Burn,276,1996,Germany,"Metalcore,Melodic death",-
Myrath,275,2001,"Tunisia, France","Progressive,Oriental folk",2001
Freedom Call,272,1998,Germany,Power,-
Green Carnation,272,1990,Norway,"Death,Gothic,Progressive",1990
High On Fire,272,1998,USA,"Stoner,Sludge",-
Metal Church,268,1980,USA,"Heavy,Thrash",1980
Sylosis,267,2000,United Kingdom,"Melodic death,Progressive thrash",-
Danzig,266,1988,USA,Hard rock,1988
Elvenking,265,1997,Italy,"Folk,Power",-
Triptykon,265,2008,Switzerland,"Blackened thrash,Death",2008
Volbeat,264,2001,Denmark,"Heavy,Hard rock",-
The Haunted,263,1996,Sweden,"Alternative thrash,Thrash,Melodic death",1996
Carpathian Forest,262,1990,Norway,Black,-
Van Halen,262,1972,USA,"Hard rock,Heavy",1972
Falconer,261,1999,Sweden,"Folk,Power",-
Pain,261,1996,Sweden,Gothic industrial,1996
Unleashed,260,1989,Sweden,Melodic death,-
Protest The Hero,258,2001,Canada,"Metalcore,Progressive metalcore",2001
Gorguts,257,1989,Canada,"Death,Technical death,Avantgarde",-
Circus Maximus,256,2000,Norway,Progressive,2000
Aborted,255,1995,Belgium,"Brutal death,Melodic death,Grindcore",-
Municipal Waste,254,2000,USA,Crossover thrash,2000
Virgin Black,253,1995,Australia,"Gothic,Doom",-
Dismember,252,1988,Sweden,Death,1988
Joe Satriani,252,1984,USA,"Hard rock,Rock,Instrumental",-
Barren Earth,250,2007,Finland,"Melodic death,Progressive",2007
Dream Evil,250,1999,Sweden,"Heavy,Power",-
Krisiun,249,1990,Brazil,Brutal death,1990
Negur? Bunget,249,1995,Romania,"Black,Folk",-
Uaral,248,1996,Chile,"Doom,Neofolk",1996
Amaranthe,247,2008,Sweden,"Power,Industrial",-
Whitesnake,247,1978,United Kingdom,Hard rock,1978
Quo Vadis,246,1992,Canada,Technical death,-
Mercenary,245,1991,Denmark,"Melodic death,Thrash,Gothenburg,Heavy",1991
Pestilence,245,1986,The Netherlands,"Death,Progressive death,Technical death",-
The Agonist,244,2004,Canada,"Metalcore,Melodic death",2004
Cavalera Conspiracy,243,2007,USA,Thrash,-
Mudvayne,243,1996,USA,"Nu,Alternative",1996
Origin,243,1997,USA,Technical death,-
The Ocean,243,2000,Germany,"Post-metal,Sludge,Hardcore",2000
Vintersorg,243,1994,Sweden,"Black,Progressive,Folk",-
Voivod,243,1982,Canada,"Thrash,Progressive",1982
Fates Warning,242,1982,USA,"Us power,Progressive",-
Skid Row,240,1987,USA,"Heavy,Hard rock",1987
Unexpect,239,1996,Canada,Extreme avantgarde,2015
Vital Remains,239,1989,USA,Death,1989
Kvelertak,238,2007,Norway,"Blackened hardcore,Punk",-
1349,236,1997,Norway,Black,1997
Mötley Crüe,236,1981,USA,"Glam rock,Glam",2015
Tankard,236,1982,Germany,Thrash,1982
Dragonland,235,1999,Sweden,Symphonic power,-
Cattle Decapitation,234,1996,USA,"Deathgrind,Goregrind",1996
Revocation,234,2006,USA,"Technical death,Thrash",-
Pagan's Mind,233,2000,Norway,"Progressive,Power",2000
Artillery,232,1982,Denmark,Thrash,-
Shade Empire,232,1999,Finland,Symphonic black,1999
Arsis,231,2000,USA,"Melodic death,Technical death",-
Autopsy,231,1987,USA,Death,1987
Dark Fortress,230,1994,Germany,Black,-
Lake Of Tears,230,1992,Sweden,"Gothic,Doom",1992
Daylight Dies,229,1996,USA,"Melodic death,Doom",-
Lost Horizon,229,1990,Sweden,Power,1990
TesseracT,226,2003,United Kingdom,"Progressive math,Djent",-
Keep Of Kalessin,222,1994,Norway,"Black,Melodic black,Progressive black",1994
Toxic Holocaust,222,1999,USA,"Blackened thrash,Crossover thrash",-
Possessed,220,1983,USA,"Death,Thrash",1983
3 Inches Of Blood,219,1999,Canada,"Heavy,Power",2015
Allegaeon,218,2005,USA,"Technical death,Melodic death",2005
Beyond Creation,217,2005,Canada,"Technical death,Progressive death",-
Catamenia,215,1995,Finland,"Melodic black,Melodic death,Heavy",1995
Def Leppard,215,1977,United Kingdom,"New wave of british heavy,Hard rock",-
Hatebreed,215,1994,USA,"Hardcore,Metalcore",1994
Heavenly,215,1994,France,Power,-
Heidevolk,215,2002,The Netherlands,Folk,2002
Soundgarden,215,1984,USA,"Grunge ,Stoner",-
Textures,215,2001,The Netherlands,Progressive math,2001
Sigh,214,1989,Japan,"Death,Black,Avantgarde,Thrash",-
Antimatter,213,1998,United Kingdom,Atmospheric rock,1998
Clutch,213,1990,USA,"Hard rock,Stoner rock",-
Crematory,211,1991,Germany,"Death,Gothic",1991
Gorod,211,1997,France,Technical death,-
Les Discrets,211,2003,France,"Black,Shoegaze",2003
October Tide,211,1995,Sweden,Death doom,-
Periphery,211,2005,USA,"Progressive math,Djent",2005
Seventh Wonder,211,2000,Sweden,Progressive,-
Stone Sour,209,1992,USA,"Hard rock,Alternative",1992
Estatic Fear,208,1994,Austria,Symphonic doom,1999
Malevolent Creation,208,1987,USA,Death,1987
Esoteric,207,1992,United Kingdom,"Psychedelic doom,Funeral doom",-
Hate Eternal,207,1996,USA,Brutal death,1996
The Foreshadowing,207,1999,Italy,"Doom,Gothic",-
Atoma,206,2011,Sweden,"Post-metal,Post-rock",2011
Deathstars,206,2000,Sweden,Industrial gothic,-
Luca Turilli's Rhapsody,206,2011,Italy,Symphonic power,2011
Iron Savior,205,1996,Germany,Power,-
Asphyx,204,1987,The Netherlands,Death,1987
Control Denied,204,1995,USA,Progressive,2001
Job For A Cowboy,203,2002,USA,"Deathcore,Death",2002
Heaven And Hell,201,2006,USA,Heavy,2010
Thyrfing,200,1995,Sweden,Viking black,1995
Ministry,199,1981,USA,"Industrial,Synth pop",-
Queens Of The Stone Age,199,1997,USA,"Stoner,Stoner rock",1997
Slumber,199,2002,Sweden,Melodic doom,2010
Threshold,199,1988,United Kingdom,Progressive,1988
Grave,198,1986,Sweden,Death,-
Naglfar,198,1992,Sweden,Melodic black,1992
Benighted,197,1998,France,"Brutal death,Blackened death,Grindcore",-
Lordi,195,1992,Finland,"Hard rock,Glam",1992
Alter Bridge,194,2004,USA,"Hard rock,Rock",-
Doom:VS,194,2004,Sweden,Funeral doom,2004
Finsterforst,194,2004,Germany,Pagan folk,-
Luca Turilli,192,1999,Italy,Symphonic power,1999
Shadows Fall,192,1996,USA,"Modern thrash,Melodic death",-
Steve Vai,191,1982,USA,Progressive rock,1982
Twisted Sister,191,1972,USA,"Hard rock,Glam",-
Suicidal Tendencies,190,1981,USA,"Crossover thrash,Hardcore,Punk",1981
Whitechapel,189,2006,USA,Deathcore,-
Jeff Loomis,188,2005,USA,"Progressive,Instrumental",2005
Månegarm,188,1995,Sweden,"Black,Viking folk",-
Van Canto,188,2006,Germany,"Power,A,Cappella",2006
Nuclear Assault,187,1984,USA,Thrash,-
A Forest Of Stars,186,2007,United Kingdom,Atmospheric black,2007
All Shall Perish,186,2002,USA,Deathcore,-
The Sword,186,2003,USA,"Doom,Stoner",2003
Caladan Brood,185,2008,USA,"Atmospheric black,Folk",-
Galneryus,185,2001,Japan,Power,2001
Adagio,184,2000,France,"Progressive,Symphonic power",-
Akercocke,184,1996,United Kingdom,"Black,Death,Progressive death",1996
Axel Rudi Pell,184,1989,Germany,"Heavy,Power",-
Edenbridge,184,1998,Austria,"Symphonic,Progressive,Power",1998
Inquisition,184,1988,"Colombia, USA","Black,Thrash",-
Chthonic,183,1995,Taiwan,"Melodic black,Extreme power,Folk",1995
Dark Angel,183,1981,USA,Bay area thrash,-
Parkway Drive,183,2002,Australia,Metalcore,2002
Psycroptic,183,1999,Australia,Technical death,-
Poisonblack,182,2000,Finland,"Suomi,Depressive heavy",2000
The Dillinger Escape Plan,182,1997,USA,"Math,Metalcore",-
Deafheaven,179,2010,USA,"Atmospheric black,Post-metal,Shoegaze",2010
Rapture,179,1998,Finland,"Melodic death,Doom",-
Kauan,178,2005,Russia,"Folk,Doom,Black",2005
Into Eternity,177,1997,Canada,"Melodic death,Progressive",-
Thy Catafalque,177,1998,"Hungary, United Kingdom",Avantgarde black,1998
Enshine,175,2009,,Gothic doom,-
Kylesa,173,2001,USA,Sludge,2001
Cain's Offering,172,2005,Finland,Power,-
Cathedral,172,1989,United Kingdom,"Doom,Stoner",1989
Forbidden,172,1985,USA,Bay area thrash,-
Spawn Of Possession,172,1997,Sweden,"Brutal death,Technical death",1997
Soen,171,2004,Sweden,"Progressive,Alternative",-
Dalriada,170,2006,Hungary,Folk,2006
Evoken,170,1992,USA,"Death,Funeral doom",-
Misery Index,170,2001,USA,Deathgrind,2001
August Burns Red,169,2003,USA,Technical metalcore,-
Disarmonia Mundi,169,2000,Italy,Gothenburg,2000
In Vain,168,2003,Norway,"Death,Progressive death",-
Jorn,167,2000,Norway,Heavy,2000
Absu,166,1989,USA,"Death,Blackened thrash",-
Anorexia Nervosa,166,1995,France,"Symphonic black,Industrial",1995
Charon,166,1992,Finland,"Suomi,Death",2011
Suicide Silence,166,2002,USA,Deathcore,2002
